AGREEMENT	ACCEPT	INDIA	PURITY-TO-SUPREMACY	1	"I will accept your offer, and pray it grants you the wisdom to reclaim your heritage."
AGREEMENT	ACCEPT	INDIA	SUPREMACY-TO-PURITY	MEEK	1	"To deny you is to deny the past. We must accept it, and your offer."
AGREEMENT	ACCEPT	RUSSIA	SUPREMACY	1	"We accept your offer/qualify your proposal."
AGREEMENT	CONFIRM	AL-FALAH	PURITY-TO-SUPREMACY	1	"And this is the optimal trade agreement, calculated by your super-AI?"
AGREEMENT	CONFIRM	RUSSIA	SUPREMACY	1	"Final/complete?"
AGREEMENT	HAPPY	YOU	ACCEPTED	RUSSIA	SUPREMACY	1	"Agreed/transaction. We approve/support your decision."
AGREEMENT	PROPOSE	RUSSIA	SUPREMACY	1	"Decision proposed/offered. What is your input?"
AGREEMENT	REJECT	INDIA	PURITY-TO-SUPREMACY	1	"As the demon of nihility entropifies the universe, so will you use this agreement. I cannot agree"
AGREEMENT	REJECT	RUSSIA	SUPREMACY	1	"No/negative. We do not accept this agreement. Offer rejected."
AGREEMENT	SAD	YOU	REJECTED	RUSSIA	SUPREMACY	1	"We are disappoint. Renegotiate/continue?"
AGREEMENTS	CONFIRM	POLYSTRALIA	PURITY-TO-SUPREMACY	1	"I don't like dealing with robots, but I'll do what I have to for the sake of Freeland."
CONFRONT	DEFEAT	CHUNGSU	HARMONY-TO-SUPREMACY	1	"You think you have struck us down, but really, you have made us more powerful than you can possibly imagine."
CONFRONT	DIFFERENCE	AL-FALAH	HARMONY-TO-SUPREMACY	1	"If this is how you exploited Earth, it's no wonder we were forced to leave."
CONFRONT	DIFFERENCE	AL-FALAH	PURITY-TO-SUPREMACY	1	"How can you stray so far from your roots? Does history, or family mean nothing to you?"
CONFRONT	DIFFERENCE	AL-FALAH	SUPREMACY-TO-PURITY	1	"It's possible that we lost a piece of our humanity in space. But the strength we've gained was worth it."
CONFRONT	DIFFERENCE	BRASILIA	PURITY-TO-SUPREMACY	1	"What good is technology without humanity? Passion wins wars, not rationality."
